fixture,config,c,status,nchol,c_mu,resid,e_1e,e_hf,e_x,e_hartree,e_rpa,de_hf,de_x,de_hartree,de_rpa,ref,sel_impl
ncpp,f100,4,ok,64,4.0,0.4895516125940181,2.4411200568832,-1.4040898856116981,-2.012244854372918,0.60815496876122,-0.18666084499676336,0.18394729093183848,0.20910200896678965,-0.025154718034951173,0.04876952876710891,chol_ref,chol_metric_impl
ncpp,f100,6,ok,96,6.0,0.2785494927639106,2.4411200568831597,-1.5158119043603713,-2.1860330995385846,0.6702211951782133,-0.216281767545671,0.07222527218316532,0.035313763801123166,0.03691150838204216,0.019148606218201275,chol_ref,chol_metric_impl
ncpp,f100,8,ok,128,8.0,0.1188397613494939,2.4411200568832,-1.5735208771994889,-2.2316566573229215,0.6581357801234327,-0.23495453148118003,0.014516299344047745,-0.010309793983213744,0.02482609332726149,0.00047584228269223483,chol_ref,chol_metric_impl
ncpp,f100,10,ok,160,10.0,0.01243850366788773,2.441120056883191,-1.5872799259016803,-2.228362731825876,0.6410828059241958,-0.2357182918328254,0.0007572506418562774,-0.0070158684861683085,0.007773119128024586,-0.0002879180689531191,chol_ref,chol_metric_impl
ncpp,f100,12,ok,192,12.0,0.0022469245406069845,2.441120056883191,-1.5885227174173102,-2.222851078396385,0.6343283609790746,-0.23541659951428182,-0.00048554087377361554,-0.0015042150566770829,0.0010186741829034673,1.3774249590453591e-05,chol_ref,chol_metric_impl
ncpp,matten,4,ok,128,8.0,0.11223789104257836,2.4411200568832,-1.4929253351563763,-2.0922232926880064,0.5992979575316302,-0.2031293314680402,0.09511184138716033,0.12912357065170132,-0.03401172926454099,0.03230104229583208,chol_ref,chol_metric_impl
ncpp,matten,6,ok,192,12.0,0.004842865660643434,2.441120056883191,-1.5892027551938879,-2.2147501829342797,0.6255474277403918,-0.22951838124287383,-0.0011655786503512733,0.006596680405428046,-0.007762259055779319,0.005911992520998444,chol_ref,chol_metric_impl
ncpp,matten,8,ok,256,16.0,0.00033522543798600334,2.4411200568832,-1.589876531491152,-2.217087887486783,0.6272113559956309,-0.23478674976255642,-0.0018393549476154458,0.0042589758529247845,-0.00609833080054023,0.0006436240013158456,chol_ref,chol_metric_impl
ncpp,matten,10,ok,320,20.0,6.389050249763515e-05,2.4411200568832068,-1.5862817149404322,-2.221469356704692,0.6351876417642597,-0.2352336284837731,0.001755461603104358,-0.0001224933649841553,0.0018779549680885133,0.00019674528009916425,chol_ref,chol_metric_impl
ncpp,matten,12,ok,384,24.0,1.3230704671316086e-05,2.4411200568832,-1.5875301612468036,-2.2213072861675895,0.633777124920786,-0.23537029819096003,0.0005070152967330266,3.9577172118221426e-05,0.00046743812461480516,6.0075572912238195e-05,chol_ref,chol_metric_impl
ncpp,mbare,4,ok,128,8.0,0.11223789104258876,2.441120056883191,-1.4786461922891116,-2.0758421638141598,0.5971959715250481,-0.20065010313939974,0.10939098425442495,0.145504699525548,-0.03611371527112306,0.03478027062447253,chol_ref,chol_metric_impl
ncpp,mbare,6,ok,192,12.0,0.00484286566062318,2.4411200568832,-1.5636722615899692,-2.197296300287559,0.6336240386975898,-0.23084499974380443,0.024364914953567407,0.02405056305214881,0.0003143519014185969,0.0045853740200678395,chol_ref,chol_metric_impl
ncpp,mbare,8,ok,256,16.0,0.000335225437984685,2.441120056883191,-1.5836972734520858,-2.215397857207895,0.6317005837558094,-0.23468551411420593,0.004339903091450825,0.005949006131812595,-0.00160910304036177,0.0007448596496663351,chol_ref,chol_metric_impl
ncpp,mbare,10,ok,320,20.0,6.389050250323332e-05,2.4411200568832,-1.586601095505279,-2.2211254114025984,0.6345243158973195,-0.23533387300774283,0.0014360810382576528,0.0002214519371093182,0.0012146291011483346,9.65007561294362e-05,chol_ref,chol_metric_impl
ncpp,mbare,12,ok,384,24.0,1.3230704666078417e-05,2.4411200568832365,-1.5871750649854017,-2.2210414816987263,0.6338664167133246,-0.23541019496813587,0.0008621115581348704,0.00030538164098148357,0.0005567299171533868,2.017879573640302e-05,chol_ref,chol_metric_impl
ncpp,mbare_s3,4,ok,192,12.0,0.004842865660632039,2.4411200568832143,-1.5872904589896089,-2.1415526399069114,0.5542621809173025,-0.21379133681917548,0.0007467175539277449,0.07979422343279641,-0.07904750587886866,0.021639036944696793,chol_ref,chol_metric_impl
ncpp,mbare_s3,6,ok,288,18.0,0.00013603768002652545,2.441120056883191,-1.5797407796212792,-2.2085953386952535,0.6288545590739743,-0.23325552287627835,0.008296396922257365,0.012751524644454282,-0.0044551277221969166,0.002174850887593921,chol_ref,chol_metric_impl
ncpp,mbare_s3,8,ok,384,24.0,1.3230704655175012e-05,2.4411200568832196,-1.5823214396993914,-2.228519939983017,0.6461985002836257,-0.23559773009561807,0.0057157368441451695,-0.007173076643309351,0.01288881348745452,-0.0001673563317458049,chol_ref,chol_metric_impl
ncpp,mbare_s3,10,ok,399,24.9375,9.92741491928093e-06,2.441120056883202,-1.5878676668879483,-2.2220946568231703,0.634226989935222,-0.23535524730852386,0.00016950965558826248,-0.0007477934834625444,0.0009173031390508068,7.512645534840656e-05,chol_ref,chol_metric_impl
ncpp,mbare_s3,12,ok,399,24.9375,9.927414918717963e-06,2.4411200568832,-1.5869047840838608,-2.220596370882932,0.6336915867990711,-0.23537210616610127,0.0011323924596757795,0.0007504924567758309,0.00038190000289994863,5.82675977710001e-05,chol_ref,chol_metric_impl
ncpp,thc_ref,,ok,320,20.0,6.389050250410018e-05,2.441120056883212,-1.5879228263532528,-2.2213725234784927,0.6334496971252399,-0.23543174929053146,0.00011435019028382953,-2.5660138784910913e-05,0.00014001032906874045,-1.375526659186388e-06,chol_ref,chol_metric_impl
ncpp,wgap,4,ok,64,4.0,1.002586618895557,2.4411200568832,-1.3178423410985962,-1.97192521892071,0.6540828778221137,-0.17422769174783864,0.2701948354449404,0.24942164441899783,0.02077319102594255,0.06120268201603363,chol_ref,chol_metric_impl
ncpp,wgap,6,ok,96,6.0,0.2846506176315479,2.4411200568832,-1.4730562735553003,-2.140190496357572,0.6671342228022716,-0.21115448990711125,0.11498090298823627,0.0811563669821358,0.03382453600610047,0.02427588385676102,chol_ref,chol_metric_impl
ncpp,wgap,8,ok,128,8.0,0.07018352085175952,2.441120056883154,-1.56359746698712,-2.2199249246164623,0.6563274576293423,-0.2349921929421112,0.02443970955641661,0.001421938723245475,0.023017770833171136,0.0004381808217610583,chol_ref,chol_metric_impl
ncpp,wgap,10,ok,160,10.0,0.018243396193951746,2.4411200568832,-1.5894803227248508,-2.2237348472835174,0.6342545245586666,-0.2355174992321505,-0.0014431461813142477,-0.0023879839438096795,0.0009448377624954318,-8.712546827824297e-05,chol_ref,chol_metric_impl
ncpp,wgap,12,ok,192,12.0,0.003310715816526569,2.4411200568832,-1.5895264587166595,-2.221906442968327,0.6323799842516675,-0.23540453549164983,-0.001489282173122941,-0.0005595796286193,-0.0009297025445036411,2.5838272222439285e-05,chol_ref,chol_metric_impl
